MeV,eV,flux,error
3.20E-05,3.20E+01,1.57E-06,0.0028
3.28E-05,3.28E+01,1.56E-06,0.0028
3.37E-05,3.37E+01,1.55E-06,0.0028
3.46E-05,3.46E+01,1.54E-06,0.0028
3.55E-05,3.55E+01,1.51E-06,0.0028
3.65E-05,3.65E+01,1.49E-06,0.0028
3.74E-05,3.74E+01,1.45E-06,0.0028
3.84E-05,3.84E+01,1.51E-06,0.0028
3.94E-05,3.94E+01,1.55E-06,0.0028
4.05E-05,4.05E+01,1.58E-06,0.0028
4.16E-05,4.16E+01,1.59E-06,0.0028
4.27E-05,4.27E+01,1.60E-06,0.0028
4.38E-05,4.38E+01,1.60E-06,0.0028
4.50E-05,4.50E+01,1.61E-06,0.0028
4.62E-05,4.62E+01,1.61E-06,0.0028
4.74E-05,4.74E+01,1.61E-06,0.0028
4.87E-05,4.87E+01,1.61E-06,0.0028
5.00E-05,5.00E+01,1.61E-06,0.0028
5.13E-05,5.13E+01,1.61E-06,0.0028
5.27E-05,5.27E+01,1.61E-06,0.0028
5.41E-05,5.41E+01,1.61E-06,0.0028
5.55E-05,5.55E+01,1.61E-06,0.0028
5.70E-05,5.70E+01,1.60E-06,0.0028
5.85E-05,5.85E+01,1.61E-06,0.0028
6.01E-05,6.01E+01,1.62E-06,0.0028
6.17E-05,6.17E+01,1.61E-06,0.0028
6.34E-05,6.34E+01,1.60E-06,0.0028
6.51E-05,6.51E+01,1.58E-06,0.0028
6.68E-05,6.68E+01,1.51E-06,0.0028
6.86E-05,6.86E+01,1.58E-06,0.0028
7.04E-05,7.04E+01,1.61E-06,0.0028
7.23E-05,7.23E+01,1.62E-06,0.0028
7.42E-05,7.42E+01,1.63E-06,0.0028
7.62E-05,7.62E+01,1.62E-06,0.0028
7.82E-05,7.82E+01,1.62E-06,0.0028
8.03E-05,8.03E+01,1.60E-06,0.0028
8.24E-05,8.24E+01,1.57E-06,0.0028
8.46E-05,8.46E+01,1.63E-06,0.0028
8.69E-05,8.69E+01,1.64E-06,0.0028
8.92E-05,8.92E+01,1.62E-06,0.0028
9.16E-05,9.16E+01,1.62E-06,0.0028
9.40E-05,9.40E+01,1.63E-06,0.0028
9.65E-05,9.65E+01,1.63E-06,0.0028
9.91E-05,9.91E+01,1.61E-06,0.0028
1.02E-04,1.02E+02,1.67E-06,0.0028
1.04E-04,1.04E+02,1.51E-06,0.0028
1.07E-04,1.07E+02,1.60E-06,0.0028
1.10E-04,1.10E+02,1.62E-06,0.0028
1.13E-04,1.13E+02,1.62E-06,0.0028
1.16E-04,1.16E+02,1.64E-06,0.0028
1.19E-04,1.19E+02,1.57E-06,0.0028
1.22E-04,1.22E+02,1.64E-06,0.0028
1.26E-04,1.26E+02,1.65E-06,0.0028
1.29E-04,1.29E+02,1.66E-06,0.0028
1.32E-04,1.32E+02,1.66E-06,0.0028
1.36E-04,1.36E+02,1.65E-06,0.0028
1.40E-04,1.40E+02,1.66E-06,0.0028
1.43E-04,1.43E+02,1.65E-06,0.0028
1.47E-04,1.47E+02,1.62E-06,0.0028
1.51E-04,1.51E+02,1.66E-06,0.0028
1.55E-04,1.55E+02,1.65E-06,0.0028
1.59E-04,1.59E+02,1.66E-06,0.0028
1.63E-04,1.63E+02,1.64E-06,0.0028
1.68E-04,1.68E+02,1.62E-06,0.0028
1.72E-04,1.72E+02,1.66E-06,0.0028
1.77E-04,1.77E+02,1.65E-06,0.0028
1.82E-04,1.82E+02,1.65E-06,0.0028
1.86E-04,1.86E+02,1.69E-06,0.0028
1.91E-04,1.91E+02,1.66E-06,0.0028
1.97E-04,1.97E+02,1.59E-06,0.0028
2.02E-04,2.02E+02,1.63E-06,0.0028
2.07E-04,2.07E+02,1.67E-06,0.0028
2.13E-04,2.13E+02,1.61E-06,0.0028
2.18E-04,2.18E+02,1.66E-06,0.0028
2.24E-04,2.24E+02,1.66E-06,0.0028
2.30E-04,2.30E+02,1.66E-06,0.0028
2.36E-04,2.36E+02,1.67E-06,0.0028
2.43E-04,2.43E+02,1.63E-06,0.0028
2.49E-04,2.49E+02,1.67E-06,0.0028
2.56E-04,2.56E+02,1.67E-06,0.0028
2.63E-04,2.63E+02,1.67E-06,0.0028
2.70E-04,2.70E+02,1.66E-06,0.0028
2.77E-04,2.77E+02,1.65E-06,0.0028
2.84E-04,2.84E+02,1.67E-06,0.0028
2.92E-04,2.92E+02,1.66E-06,0.0028
2.99E-04,2.99E+02,1.67E-06,0.0028
3.07E-04,3.07E+02,1.69E-06,0.0028
3.16E-04,3.16E+02,1.67E-06,0.0028
3.24E-04,3.24E+02,1.68E-06,0.0028
3.33E-04,3.33E+02,1.68E-06,0.0028
3.42E-04,3.42E+02,1.67E-06,0.0028
3.51E-04,3.51E+02,1.69E-06,0.0028
3.60E-04,3.60E+02,1.67E-06,0.0028
3.70E-04,3.70E+02,1.69E-06,0.0028
3.80E-04,3.80E+02,1.68E-06,0.0028
3.90E-04,3.90E+02,1.69E-06,0.0028
4.00E-04,4.00E+02,1.67E-06,0.0028
4.11E-04,4.11E+02,1.68E-06,0.0028
4.22E-04,4.22E+02,1.68E-06,0.0028
4.33E-04,4.33E+02,1.69E-06,0.0028
4.44E-04,4.44E+02,1.67E-06,0.0028
4.56E-04,4.56E+02,1.69E-06,0.0028
4.69E-04,4.69E+02,1.68E-06,0.0028
4.81E-04,4.81E+02,1.68E-06,0.0028
4.94E-04,4.94E+02,1.69E-06,0.0028
5.07E-04,5.07E+02,1.69E-06,0.0028
5.21E-04,5.21E+02,1.69E-06,0.0028
5.34E-04,5.34E+02,1.71E-06,0.0028
5.49E-04,5.49E+02,1.67E-06,0.0028
5.63E-04,5.63E+02,1.70E-06,0.0028
5.78E-04,5.78E+02,1.71E-06,0.0028
5.94E-04,5.94E+02,1.71E-06,0.0028
6.10E-04,6.10E+02,1.66E-06,0.0028
6.26E-04,6.26E+02,1.68E-06,0.0028
6.43E-04,6.43E+02,1.69E-06,0.0028
6.60E-04,6.60E+02,1.75E-06,0.0028
6.77E-04,6.77E+02,1.66E-06,0.0028
6.95E-04,6.95E+02,1.69E-06,0.0028
7.14E-04,7.14E+02,1.68E-06,0.0028
7.33E-04,7.33E+02,1.70E-06,0.0028
7.52E-04,7.52E+02,1.71E-06,0.0028
7.73E-04,7.73E+02,1.70E-06,0.0028
7.93E-04,7.93E+02,1.69E-06,0.0028
8.14E-04,8.14E+02,1.72E-06,0.0028
8.36E-04,8.36E+02,1.70E-06,0.0028
8.58E-04,8.58E+02,1.71E-06,0.0028
8.81E-04,8.81E+02,1.70E-06,0.0028
9.05E-04,9.05E+02,1.72E-06,0.0028
9.29E-04,9.29E+02,1.69E-06,0.0028
9.54E-04,9.54E+02,1.73E-06,0.0028
9.79E-04,9.79E+02,1.70E-06,0.0028
1.01E-03,1.01E+03,1.74E-06,0.0028
1.03E-03,1.03E+03,1.69E-06,0.0028
1.06E-03,1.06E+03,1.72E-06,0.0028
1.09E-03,1.09E+03,1.70E-06,0.0028
1.12E-03,1.12E+03,1.69E-06,0.0028
1.15E-03,1.15E+03,1.73E-06,0.0028
1.18E-03,1.18E+03,1.71E-06,0.0028
1.21E-03,1.21E+03,1.70E-06,0.0028
1.24E-03,1.24E+03,1.74E-06,0.0028
1.27E-03,1.27E+03,1.70E-06,0.0028
1.31E-03,1.31E+03,1.72E-06,0.0028
