output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c2100-r68_98-d2o96_8-v1800.o,2100.0,1800.0,68.98236,0.90118,0.00016,80.59
o_b8hcp-caseSC-c2100-r73_18-d2o96_8-v2200.o,2100.0,2200.0,73.18108,0.94007,0.00013,83.11
o_b8hcp-caseSC-c2100-r76_95-d2o96_8-v2600.o,2100.0,2600.0,76.94644,0.96725,0.00013,84.85
o_b8hcp-caseSC-c2100-r80_38-d2o96_8-v3000.o,2100.0,3000.0,80.37547,0.9863,0.00012,86.1
o_b8hcp-caseSC-c2100-r83_53-d2o96_8-v3400.o,2100.0,3400.0,83.53451,0.99959,0.00013,87.04
o_b8hcp-caseSC-c2100-r86_47-d2o96_8-v3800.o,2100.0,3800.0,86.47114,1.00934,0.00013,87.77
o_b8hcp-caseSC-c2100-r89_22-d2o96_8-v4200.o,2100.0,4200.0,89.2208,1.01568,0.00012,88.35
o_b8hcp-caseSC-c2200-r61_69-d2o96_8-v1200.o,2200.0,1200.0,61.68848,0.77315,0.00013,71.07
o_b8hcp-caseSC-c2200-r64_36-d2o96_8-v1400.o,2200.0,1400.0,64.35935,0.81123,0.00014,74.16
o_b8hcp-caseSC-c2200-r69_12-d2o96_8-v1800.o,2200.0,1800.0,69.12143,0.8706,0.00012,78.52
o_b8hcp-caseSC-c2200-r73_30-d2o96_8-v2200.o,2200.0,2200.0,73.30469,0.91392,0.00013,81.39
o_b8hcp-caseSC-c2200-r77_06-d2o96_8-v2600.o,2200.0,2600.0,77.05828,0.94514,0.00015,83.4
o_b8hcp-caseSC-c2200-r80_48-d2o96_8-v3000.o,2200.0,3000.0,80.47799,0.9684,0.00014,84.85
o_b8hcp-caseSC-c2200-r83_63-d2o96_8-v3400.o,2200.0,3400.0,83.62943,0.98541,0.00015,85.97
o_b8hcp-caseSC-c2200-r86_56-d2o96_8-v3800.o,2200.0,3800.0,86.55973,0.99826,0.00014,86.83
o_b8hcp-caseSC-c2200-r89_30-d2o96_8-v4200.o,2200.0,4200.0,89.30403,1.00777,0.00012,87.51
o_b8hcp-caseSC-c500-r58_57-d2o96_8-v1200.o,500.0,1200.0,58.57116,0.91531,0.00018,87.33
o_b8hcp-caseSC-c500-r61_51-d2o96_8-v1400.o,500.0,1400.0,61.51372,0.92133,0.00022,88.09
o_b8hcp-caseSC-c500-r64_20-d2o96_8-v1600.o,500.0,1600.0,64.19885,0.92333,0.00019,88.68
